商品ID, 表示名, センサー番号, センサーID, 都道府県, データ計測日, 消費電力量(kWh), 発電電力量(kWh), 買電電力量(kWh), 売電電力量(kWh), 自家消費電力量(kWh), 買取方式
10000000002,スマイル第１発電所,,,大阪府,2022/5/1,63.301,3.7394,29.8011,0.2404,3.499,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/2,65.3019,6.0295,31.4334,2.1612,3.8683,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/3,67.7727,14.5761,31.7613,8.5645,6.0116,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/4,68.6944,17.1684,31.7303,10.204,6.9644,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/5,63.9963,2.1979,32.3554,0.5572,1.6407,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/6,72.5553,13.7104,35.4829,6.638,7.0724,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/7,68.6767,13.4161,36.0005,10.7394,2.6767,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/8,76.0655,15.6728,36.1511,5.7586,9.9142,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/9,65.6932,14.5624,31.8598,10.7287,3.8337,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/10,69.6062,15.94,36.4075,12.7408,3.1992,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/11,66.8512,21.8399,33.5114,18.4999,3.34,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/12,65.3126,20.2907,32.1478,17.1255,3.1652,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/13,61.1406,1.749,29.7564,0.3658,1.3832,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/14,60.1259,11.3651,27.4672,8.7057,2.6594,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/15,67.6619,17.9549,34.3661,14.6585,3.2964,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/16,70.1936,17.3261,36.027,13.1589,4.1672,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/17,57.9783,18.457,24.9219,15.3991,3.0579,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/18,56.0722,3.3535,24.24,1.5216,1.8319,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/19,53.5328,20.2194,20.3422,17.0278,3.1916,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/20,60.3347,1.6119,28.9094,0.1878,1.4241,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/21,61.9004,14.26,28.1286,10.4879,3.7721,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/22,63.2152,17.6431,29.388,13.8155,3.8276,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/23,64.0412,20.8125,30.3745,17.1451,3.6674,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/24,65.9603,19.8448,22.9933,16.8772,2.9676,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/25,65.7919,7.8391,21.9276,3.9744,3.8647,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/26,54.0756,1.3172,22.9856,0.2283,1.0889,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/27,50.545,7.774,16.8214,4.0504,3.7236,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/28,50.1399,21.3693,16.8073,18.0365,3.3328,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/29,46.5498,14.1123,13.4612,11.0235,3.0888,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2022/5/30,43.1493,2.2081,11.6576,0.7169,1.4912,余剰買取
