商品ID, 表示名, センサー番号, センサーID, 都道府県, データ計測日, 消費電力量(kWh), 発電電力量(kWh), 買電電力量(kWh), 売電電力量(kWh), 自家消費電力量(kWh), 買取方式
10000000001,ニンニン発電所,,,東京都,2014/1/1,34.6232,8.767,30.7095,4.8536,3.9134,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/2,26.4848,4.3922,24.9744,2.8817,1.5105,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/3,27.795,16.2015,25.6703,14.076,2.1255,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/4,36.2038,3.5084,34.8787,2.1835,1.3249,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/5,46.6738,4.6063,42.8605,0.7935,3.8128,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/6,38.0993,12.5118,36.1219,10.534,1.9778,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/7,36.6203,16.5695,33.8108,13.7591,2.8104,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/8,37.2264,1.3547,36.3629,0.4917,0.863,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/9,38.2933,6.6932,33.5705,1.9708,4.7224,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/10,33.1739,13.4418,31.1758,11.4433,1.9985,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/11,40.4432,14.2272,36.7876,10.5716,3.6556,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/12,42.1754,12.4185,35.5108,5.7541,6.6644,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/13,44.9499,5.89,40.6036,1.5442,4.3458,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/14,42.9425,16.3531,40.8021,14.2124,2.1407,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/15,35.1186,16.2642,33.1062,14.2516,2.0126,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/16,45.3697,8.2584,40.0331,2.9222,5.3362,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/17,36.2763,5.9322,34.6732,4.3287,1.6035,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/18,36.9748,8.0434,34.8233,5.8917,2.1517,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/19,42.2298,11.4595,39.9877,9.2168,2.2427,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/20,38.4947,11.8895,36.1246,9.5185,2.371,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/21,37.5692,4.131,35.8428,2.4044,1.7266,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/22,37.7374,15.5313,35.3806,13.1733,2.358,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/23,46.9248,7.2603,41.8398,2.1753,5.085,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/24,37.2107,18.1402,34.7917,15.7206,2.4196,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/25,38.2871,10.6822,33.3278,5.7229,4.9593,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/26,31.0477,8.4269,28.4417,5.8208,2.6061,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/27,32.1276,15.6707,29.9041,13.4466,2.2241,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/28,39.5139,11.7123,36.5156,8.7136,2.9987,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/29,31.1406,18.463,28.5732,15.8946,2.5684,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/30,39.4992,1.4954,38.1552,0.1523,1.3431,余剰買取
10000000001,ニンニン発電所,,,東京都,2014/1/31,29.7548,15.3391,25.3482,10.9324,4.4067,余剰買取
