商品ID, 表示名, センサー番号, センサーID, 都道府県, データ計測日, 消費電力量(kWh), 発電電力量(kWh), 買電電力量(kWh), 売電電力量(kWh), 自家消費電力量(kWh), 買取方式
10000000002,スマイル第１発電所,,,大阪府,2023/3/1,33.301,3.7394,29.8011,0.2404,3.499,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/2,35.3019,6.0295,31.4334,2.1612,3.8683,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/3,37.7727,14.5761,31.7613,8.5645,6.0116,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/4,38.6944,17.1684,31.7303,10.204,6.9644,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/5,33.9963,2.1979,32.3554,0.5572,1.6407,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/6,42.5553,13.7104,35.4829,6.638,7.0724,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/7,38.6767,13.4161,36.0005,10.7394,2.6767,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/8,46.0655,15.6728,36.1511,5.7586,9.9142,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/9,35.6932,14.5624,31.8598,10.7287,3.8337,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/10,39.6062,15.94,36.4075,12.7408,3.1992,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/11,36.8512,21.8399,33.5114,18.4999,3.34,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/12,35.3126,20.2907,32.1478,17.1255,3.1652,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/13,31.1406,1.749,29.7564,0.3658,1.3832,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/14,30.1259,11.3651,27.4672,8.7057,2.6594,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/15,37.6619,17.9549,34.3661,14.6585,3.2964,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/16,40.1936,17.3261,36.027,13.1589,4.1672,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/17,27.9783,18.457,24.9219,15.3991,3.0579,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/18,26.0722,3.3535,24.24,1.5216,1.8319,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/19,23.5328,20.2194,20.3422,17.0278,3.1916,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/20,30.3347,1.6119,28.9094,0.1878,1.4241,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/21,31.9004,14.26,28.1286,10.4879,3.7721,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/22,33.2152,17.6431,29.388,13.8155,3.8276,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/23,34.0412,20.8125,30.3745,17.1451,3.6674,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/24,25.9603,19.8448,22.9933,16.8772,2.9676,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/25,25.7919,7.8391,21.9276,3.9744,3.8647,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/26,24.0756,1.3172,22.9856,0.2283,1.0889,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/27,20.545,7.774,16.8214,4.0504,3.7236,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/28,20.1399,21.3693,16.8073,18.0365,3.3328,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/29,16.5498,14.1123,13.4612,11.0235,3.0888,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/30,13.1493,2.2081,11.6576,0.7169,1.4912,余剰買取
10000000002,スマイル第１発電所,,,大阪府,2023/3/31,12.0483,20.2527,8.8684,17.0719,3.1808,余剰買取
